,humidity,temp,timestamp
1980,56.00,18.60,2023-04-28 17:35:04.570604
505,56.00,18.66,2023-04-28 17:40:04.060462
2176,56.00,18.66,2023-04-28 17:45:04.501861
274,56.00,18.66,2023-04-28 17:50:03.926494
1424,56.00,18.60,2023-04-28 17:55:04.351197
639,56.00,18.73,2023-04-28 18:00:03.768526
553,56.00,18.57,2023-04-28 18:05:04.199161
974,56.00,18.69,2023-04-28 18:10:04.669534
2910,56.00,18.59,2023-04-28 18:15:04.107928
1250,56.00,18.62,2023-04-28 18:20:04.591366
3215,57.00,18.63,2023-04-28 18:25:04.044477
673,56.00,18.69,2023-04-28 18:30:04.463543
2868,56.00,18.69,2023-04-28 18:35:03.897286
190,56.00,18.64,2023-04-28 18:40:04.360095
91,56.00,18.67,2023-04-28 18:45:03.776105
788,57.00,18.69,2023-04-28 18:50:04.233654
1166,57.00,18.59,2023-04-28 18:55:04.669822
1591,57.00,18.66,2023-04-28 19:00:04.120274
924,56.00,18.76,2023-04-28 19:05:04.555570
2328,56.00,18.66,2023-04-28 19:10:04.027995
1365,57.00,18.77,2023-04-28 19:15:04.561219
3930,56.00,18.73,2023-04-28 19:20:04.128987
3603,57.00,18.82,2023-04-28 19:25:04.553094
694,56.00,18.77,2023-04-28 19:30:03.953328
776,56.00,18.62,2023-04-28 19:35:04.400583
1959,56.00,18.71,2023-04-28 19:40:03.871532
3675,56.00,18.73,2023-04-28 19:45:04.520343
135,56.00,18.74,2023-04-28 19:50:03.972733
176,56.00,18.76,2023-04-28 19:55:04.399427
2197,56.00,18.77,2023-04-28 20:00:03.820336
1400,56.00,18.70,2023-04-28 20:05:04.298838
2837,56.00,18.73,2023-04-28 20:10:03.772941
3723,56.00,18.73,2023-04-28 20:15:04.213976
1812,56.00,18.71,2023-04-28 20:20:03.712819
2327,56.00,18.76,2023-04-28 20:25:04.171517
1155,56.00,18.66,2023-04-28 20:30:04.608269
2074,56.00,18.73,2023-04-28 20:35:04.063602
1711,56.00,18.74,2023-04-28 20:40:04.519887
3217,56.00,18.69,2023-04-28 20:45:03.965397
2942,56.00,18.69,2023-04-28 20:50:04.477034
560,56.00,18.70,2023-04-28 20:55:03.878249
676,56.00,18.70,2023-04-28 21:00:04.315483
1329,56.00,18.77,2023-04-28 21:05:03.753841
2817,57.00,18.70,2023-04-28 21:10:04.232340
3470,56.00,18.64,2023-04-28 21:15:04.687117
2478,57.00,18.78,2023-04-28 21:20:04.155819
1233,56.00,18.73,2023-04-28 21:25:04.585014
3120,57.00,18.77,2023-04-28 21:30:04.007536
1602,57.00,18.78,2023-04-28 21:35:04.446044
3998,57.00,18.74,2023-04-28 21:40:03.927690
743,56.00,18.71,2023-04-28 21:45:04.356319
2986,57.00,18.64,2023-04-28 21:50:03.801089
66,57.00,18.74,2023-04-28 21:55:04.254663
2933,57.00,18.66,2023-04-28 22:00:04.666609
3477,57.00,18.63,2023-04-28 22:05:04.113160
617,57.00,18.74,2023-04-28 22:10:04.618743
3945,57.00,18.66,2023-04-28 22:15:04.052385
4004,57.00,18.73,2023-04-28 22:20:04.597065
1594,57.00,18.73,2023-04-28 22:25:04.018520
2519,57.00,18.63,2023-04-28 22:30:04.448321
2101,57.00,18.71,2023-04-28 22:35:03.875028
2848,57.00,18.64,2023-04-28 22:40:04.341970
2310,57.00,18.59,2023-04-28 22:45:03.784743
2405,57.00,18.71,2023-04-28 22:50:04.218363
1005,57.00,18.69,2023-04-28 22:55:04.667809
2276,57.00,18.69,2023-04-28 23:00:04.113590
3041,57.00,18.69,2023-04-28 23:05:04.538475
3026,57.00,18.69,2023-04-28 23:10:04.020282
1041,57.00,18.64,2023-04-28 23:15:04.450884
2116,57.00,18.80,2023-04-28 23:20:04.101165
2046,57.00,18.67,2023-04-28 23:25:04.492323
3182,57.00,18.80,2023-04-28 23:30:03.905085
3123,57.00,18.71,2023-04-28 23:35:04.339562
833,57.00,18.64,2023-04-28 23:40:03.803301
2880,58.00,18.73,2023-04-28 23:45:04.212515
360,57.00,18.69,2023-04-28 23:50:04.621146
2207,57.00,18.62,2023-04-28 23:55:04.038307
2656,58.00,18.62,2023-04-29 00:00:04.469686
965,58.00,18.69,2023-04-29 00:05:03.888197
3865,58.00,18.67,2023-04-29 00:10:04.358672
3119,58.00,18.66,2023-04-29 00:15:03.764543
3181,58.00,18.66,2023-04-29 00:20:04.240320
365,58.00,18.60,2023-04-29 00:25:04.694182
1035,58.00,18.64,2023-04-29 00:30:04.136264
3320,58.00,18.57,2023-04-29 00:35:04.566983
248,58.00,18.70,2023-04-29 00:40:04.013219
2709,58.00,18.71,2023-04-29 00:45:04.455082
1301,58.00,18.62,2023-04-29 00:50:03.875064
233,58.00,18.70,2023-04-29 00:55:04.296400
2569,58.00,18.64,2023-04-29 01:00:03.715995
2362,58.00,18.69,2023-04-29 01:05:04.171005
3661,58.00,18.70,2023-04-29 01:10:04.633012
166,58.00,18.64,2023-04-29 01:15:04.067623
3208,58.00,18.63,2023-04-29 01:20:04.548830
1489,58.00,18.63,2023-04-29 01:25:03.969227
136,58.00,18.69,2023-04-29 01:30:04.395187
1439,58.00,18.63,2023-04-29 01:35:03.840236
3121,58.00,18.66,2023-04-29 01:40:04.282811
2315,58.00,18.64,2023-04-29 01:45:03.697749
219,58.00,18.64,2023-04-29 01:50:04.113848
1237,58.00,18.59,2023-04-29 01:55:04.538104
727,58.00,18.63,2023-04-29 02:00:03.990449
1333,58.00,18.63,2023-04-29 02:05:04.454416
2770,58.00,18.64,2023-04-29 02:10:03.912753
2265,59.00,18.62,2023-04-29 02:15:04.319344
2081,58.00,18.56,2023-04-29 02:20:03.807190
1461,58.00,18.59,2023-04-29 02:25:04.235475
1687,59.00,18.57,2023-04-29 02:30:04.643107
2659,58.00,18.64,2023-04-29 02:35:04.057774
2528,58.00,18.60,2023-04-29 02:40:04.548686
3279,59.00,18.60,2023-04-29 02:45:04.012883
1367,59.00,18.57,2023-04-29 02:50:04.498531
741,58.00,18.60,2023-04-29 02:55:03.943516
297,58.00,18.56,2023-04-29 03:00:04.376654
