,0,1,2
0,18.01,44.00,2023-04-20 10:00:04.535076
1,17.94,44.00,2023-04-20 10:00:07.021831
2,17.99,44.00,2023-04-20 10:00:09.519103
3,17.97,44.00,2023-04-20 10:00:12.037052
4,17.88,44.00,2023-04-20 10:00:14.496419
5,17.98,44.00,2023-04-20 10:00:16.948254
6,17.97,44.00,2023-04-20 10:00:19.441470
7,17.94,44.00,2023-04-20 10:00:21.951425
8,17.97,44.00,2023-04-20 10:00:24.418796
9,17.92,44.00,2023-04-20 10:00:26.877468
10,18.01,44.00,2023-04-20 10:00:29.365843
