,humidity.S,temperature.S,timestamp.S
3476,54.00,18.04,2023-04-21 12:36:04.168213
4886,54.00,18.13,2023-04-21 12:36:07.120651
1015,54.00,18.01,2023-04-21 12:36:10.007948
2797,54.00,18.09,2023-04-21 12:36:12.959915
3931,52.00,18.08,2023-04-21 15:48:08.632782
1847,52.00,18.04,2023-04-21 15:48:11.618839
3039,52.00,18.13,2023-04-21 15:48:14.529434
2249,52.00,18.06,2023-04-21 15:48:17.493253
3531,52.00,18.13,2023-04-21 15:48:20.386953
4613,52.00,18.13,2023-04-21 15:49:08.595617
3401,52.00,18.05,2023-04-21 15:49:11.551483
3151,52.00,18.08,2023-04-21 15:51:02.688822
2991,52.00,18.08,2023-04-21 15:51:05.684858
4550,52.00,18.12,2023-04-21 15:51:08.621971
2435,52.00,18.11,2023-04-21 15:52:15.336741
2699,52.00,18.12,2023-04-21 15:52:18.363579
3394,52.00,18.06,2023-04-21 15:52:21.256906
1897,52.00,18.12,2023-04-21 15:52:24.184318
2003,52.00,18.05,2023-04-21 15:52:27.417461
1577,52.00,18.18,2023-04-21 15:52:30.403144
839,52.00,18.08,2023-04-21 15:52:33.367070
3383,52.00,18.13,2023-04-21 15:52:36.361737
2999,52.00,18.12,2023-04-21 16:04:31.326594
2090,52.00,18.29,2023-04-21 16:04:34.300837
1555,52.00,18.13,2023-04-21 16:04:37.260862
2680,52.00,18.09,2023-04-21 16:04:40.267371
2533,52.00,18.16,2023-04-21 16:04:43.172482
3627,52.00,18.22,2023-04-21 16:04:46.123324
1159,52.00,18.08,2023-04-21 16:04:49.031062
2568,52.00,18.12,2023-04-21 16:04:51.973470
2777,52.00,18.16,2023-04-21 16:04:54.887846
3072,52.00,18.16,2023-04-21 16:04:57.824153
2051,52.00,18.12,2023-04-21 16:05:00.726657
5062,52.00,18.22,2023-04-21 16:05:03.670049
3016,52.00,18.21,2023-04-21 16:05:06.689822
2074,52.00,18.06,2023-04-21 16:05:09.592532
4993,52.00,18.13,2023-04-21 16:05:12.579485
338,52.00,18.15,2023-04-21 16:05:15.486557
3813,52.00,18.16,2023-04-21 16:05:18.478570
3937,52.00,18.12,2023-04-21 16:05:21.376624
441,51.00,18.32,2023-04-21 16:15:19.031920
3097,51.00,18.15,2023-04-21 16:15:22.068806
4968,51.00,18.16,2023-04-21 16:15:25.071324
2001,51.00,18.12,2023-04-21 16:15:28.071830
3746,51.00,18.16,2023-04-21 16:18:24.246731
3966,51.00,18.19,2023-04-21 16:20:28.961851
1766,51.00,18.13,2023-04-21 16:25:14.783604
3116,51.00,18.16,2023-04-21 16:25:17.788571
3889,51.00,18.12,2023-04-21 16:25:24.934999
492,51.00,18.13,2023-04-21 16:25:58.978565
2227,51.00,18.26,2023-04-21 16:29:46.989192
642,51.00,18.19,2023-04-21 16:30:03.851987
3081,51.00,18.26,2023-04-21 16:31:04.420000
1871,51.00,18.32,2023-04-21 16:32:04.034414
5061,51.00,18.24,2023-04-21 16:35:04.646861
622,51.00,18.24,2023-04-21 16:40:04.258712
