"timestamp","humidity","temperature"
"2023-04-22 05:55:03.962144","55.00","17.88"
"2023-04-22 11:55:04.076197","59.00","18.22"
"2023-04-22 18:20:03.913853","42.00","18.35"
"2023-04-23 07:50:04.166448","54.00","18.34"
"2023-04-23 08:20:04.718825","54.00","18.35"
"2023-04-21 22:20:03.869414","57.00","18.55"
"2023-04-22 10:35:04.510328","58.00","18.16"
"2023-04-22 07:25:04.644146","55.00","17.80"
"2023-04-22 15:05:03.934332","49.00","18.24"
"2023-04-21 17:05:04.092509","51.00","18.29"
"2023-04-22 18:25:04.505431","42.00","18.15"
"2023-04-23 07:35:04.380002","54.00","18.28"
"2023-04-22 21:05:04.514898","48.00","18.35"
"2023-04-22 07:05:04.203635","55.00","17.78"
"2023-04-22 16:40:04.523880","43.00","18.16"
"2023-04-21 23:00:04.648586","56.00","18.39"
"2023-04-22 22:05:04.775374","49.00","18.40"
"2023-04-22 00:50:03.947173","55.00","18.26"
"2023-04-21 21:25:04.092566","58.00","18.49"
"2023-04-23 10:45:04.100214","54.00","18.70"
"2023-04-21 21:00:03.876579","58.00","18.56"
"2023-04-23 08:00:04.276133","54.00","18.21"
"2023-04-22 23:15:04.262162","50.00","18.50"
"2023-04-23 11:10:04.115736","55.00","18.73"
"2023-04-22 07:20:04.044010","55.00","17.89"
"2023-04-22 02:05:03.852735","56.00","18.25"
"2023-04-22 08:40:04.649911","55.00","17.81"
"2023-04-22 17:25:04.014791","46.00","18.28"
"2023-04-22 06:20:03.916723","55.00","17.88"
"2023-04-22 17:15:04.813564","44.00","18.15"
"2023-04-22 21:35:04.126311","49.00","18.26"
"2023-04-22 07:40:04.471867","55.00","17.78"
"2023-04-23 02:40:03.975415","53.00","18.35"
"2023-04-21 16:05:15.486557","52.00","18.15"
"2023-04-22 20:45:04.212284","47.00","18.24"
"2023-04-22 03:30:04.365106","56.00","18.13"
"2023-04-22 10:15:04.077392","55.00","18.02"
"2023-04-22 14:55:04.704339","50.00","18.18"
"2023-04-22 09:30:04.690889","56.00","17.85"
"2023-04-23 09:20:03.944877","54.00","18.38"
"2023-04-21 22:45:03.850325","56.00","18.40"
"2023-04-22 02:30:04.043797","56.00","18.26"
"2023-04-21 18:15:04.499603","46.00","18.13"
"2023-04-21 22:10:04.655357","57.00","18.47"
"2023-04-22 22:10:04.405597","49.00","18.45"
"2023-04-21 16:15:19.031920","51.00","18.32"
"2023-04-22 06:55:04.017766","55.00","17.73"
"2023-04-23 03:30:03.942897","54.00","18.35"
"2023-04-22 21:30:04.532168","48.00","18.19"
"2023-04-21 16:25:58.978565","51.00","18.13"
"2023-04-23 06:25:03.873452","54.00","18.29"
"2023-04-23 01:50:03.992131","53.00","18.45"
"2023-04-22 10:05:03.850136","55.00","17.97"
"2023-04-22 00:05:04.532623","56.00","18.43"
"2023-04-23 02:50:04.129430","53.00","18.38"
"2023-04-23 01:25:04.004721","53.00","18.47"
"2023-04-22 21:40:04.725853","49.00","18.24"
"2023-04-23 06:45:04.269006","54.00","18.26"
"2023-04-23 06:15:04.621199","54.00","18.28"
"2023-04-22 21:55:04.555069","49.00","18.31"
"2023-04-22 14:15:03.908685","53.00","18.32"
"2023-04-21 20:20:04.152056","59.00","18.53"
"2023-04-22 01:05:04.707862","55.00","18.39"
"2023-04-23 01:35:04.199372","53.00","18.35"
"2023-04-22 05:05:04.836465","55.00","17.99"
"2023-04-21 16:40:04.258712","51.00","18.24"
"2023-04-21 19:35:04.614534","58.00","18.53"
"2023-04-22 19:45:03.992103","45.00","18.29"
"2023-04-22 19:25:04.652482","43.00","18.35"
"2023-04-21 16:30:03.851987","51.00","18.19"
"2023-04-23 07:55:04.712762","54.00","18.19"
"2023-04-23 01:40:04.814335","53.00","18.39"
"2023-04-23 10:25:04.708599","54.00","18.50"
"2023-04-21 20:35:03.909476","59.00","18.59"
"2023-04-23 03:50:04.280113","54.00","18.38"
"2023-04-22 02:35:04.668190","56.00","18.18"
"2023-04-23 03:40:04.161360","54.00","18.34"
