,humidity,temperature,timestamp
454,52.15,21.18,2023-05-02 18:00:00
455,52.34,21.08,2023-05-02 18:10:00
456,49.64,21.1,2023-05-02 18:50:00
457,48.21,21.05,2023-05-02 19:00:00
458,47.02,21.09,2023-05-02 19:10:00
459,44.53,20.88,2023-05-02 19:20:00
460,46.42,20.73,2023-05-02 19:40:00
461,46.95,20.78,2023-05-02 20:00:00
462,46.54,20.7,2023-05-02 20:20:00
463,46.63,20.68,2023-05-02 20:30:00
464,53.01,20.58,2023-05-02 21:10:00
465,54.18,20.44,2023-05-02 21:20:00
466,50.91,20.34,2023-05-02 21:50:00
467,48.76,19.86,2023-05-02 22:30:00
468,50.86,20.0,2023-05-02 22:40:00
469,53.61,20.01,2023-05-02 22:50:00
470,55.0,20.07,2023-05-02 23:00:00
471,55.86,20.12,2023-05-02 23:10:00
472,56.12,20.1,2023-05-02 23:20:00
473,56.64,20.19,2023-05-02 23:40:00
474,56.6,20.24,2023-05-02 23:50:00
475,56.65,20.09,2023-05-03 00:10:00
476,56.55,20.16,2023-05-03 00:30:00
477,56.54,20.13,2023-05-03 00:40:00
478,56.23,20.15,2023-05-03 00:50:00
479,56.0,20.12,2023-05-03 01:00:00
480,55.91,20.12,2023-05-03 01:30:00
481,55.81,20.2,2023-05-03 01:40:00
482,55.66,20.12,2023-05-03 01:50:00
483,55.37,20.2,2023-05-03 02:30:00
484,55.3,20.15,2023-05-03 02:40:00
485,55.14,20.09,2023-05-03 02:50:00
486,54.68,20.01,2023-05-03 03:30:00
487,57.0,19.9,2023-05-03 03:40:00
488,53.87,19.89,2023-05-03 04:50:00
489,53.92,19.95,2023-05-03 05:10:00
490,54.0,19.93,2023-05-03 05:20:00
491,53.79,19.96,2023-05-03 05:30:00
492,54.0,19.83,2023-05-03 05:40:00
493,53.82,19.78,2023-05-03 06:00:00
494,53.79,19.83,2023-05-03 07:00:00
495,53.93,19.71,2023-05-03 07:20:00
496,53.81,19.85,2023-05-03 07:30:00
497,54.18,19.73,2023-05-03 07:50:00
498,52.26,19.79,2023-05-03 08:00:00
499,50.04,19.62,2023-05-03 08:40:00
500,49.85,19.71,2023-05-03 09:00:00
501,50.24,19.76,2023-05-03 09:10:00
502,50.37,19.79,2023-05-03 09:20:00
503,50.04,19.71,2023-05-03 09:40:00
504,50.2,19.71,2023-05-03 09:50:00
505,51.32,19.86,2023-05-03 10:10:00
506,51.98,19.95,2023-05-03 10:30:00
507,52.05,19.93,2023-05-03 10:40:00
508,51.95,20.03,2023-05-03 10:50:00
