,humidity,temperature,timestamp
752,56.0,21.29,2023-05-01 21:30:00
753,56.0,21.25,2023-05-01 21:40:00
754,56.0,21.28,2023-05-01 21:50:00
755,56.0,21.19,2023-05-01 22:00:00
756,56.0,21.24,2023-05-01 22:10:00
757,56.0,21.19,2023-05-01 22:20:00
758,56.0,21.35,2023-05-01 22:30:00
759,56.0,21.24,2023-05-01 22:40:00
760,56.0,21.24,2023-05-01 22:50:00
761,56.0,21.15,2023-05-01 23:00:00
762,56.0,21.19,2023-05-01 23:10:00
763,56.0,21.18,2023-05-01 23:20:00
764,56.0,21.25,2023-05-01 23:30:00
765,56.0,21.22,2023-05-01 23:40:00
766,56.0,21.18,2023-05-01 23:50:00
767,56.0,21.25,2023-05-02 00:00:00
768,56.0,21.22,2023-05-02 00:10:00
769,56.0,21.15,2023-05-02 00:20:00
770,56.0,21.16,2023-05-02 00:30:00
771,56.0,21.18,2023-05-02 00:40:00
772,56.0,21.12,2023-05-02 00:50:00
773,56.0,21.15,2023-05-02 01:00:00
774,56.0,21.08,2023-05-02 01:10:00
775,56.0,21.09,2023-05-02 01:20:00
776,57.0,21.21,2023-05-02 01:30:00
777,56.0,21.06,2023-05-02 01:40:00
778,56.0,21.13,2023-05-02 01:50:00
779,56.0,21.03,2023-05-02 02:00:00
780,56.0,21.09,2023-05-02 02:10:00
781,56.0,21.03,2023-05-02 02:20:00
782,56.0,21.06,2023-05-02 02:30:00
783,56.0,21.06,2023-05-02 02:40:00
784,56.0,21.03,2023-05-02 02:50:00
785,56.0,20.98,2023-05-02 03:10:00
786,56.0,20.94,2023-05-02 03:20:00
787,56.0,20.89,2023-05-02 03:30:00
788,56.0,20.96,2023-05-02 03:40:00
789,56.0,20.94,2023-05-02 03:50:00
790,56.0,20.89,2023-05-02 04:00:00
791,56.0,20.95,2023-05-02 04:10:00
792,56.0,20.99,2023-05-02 04:20:00
793,56.0,20.88,2023-05-02 04:30:00
794,56.0,20.88,2023-05-02 04:40:00
795,56.0,20.94,2023-05-02 04:50:00
796,56.0,20.89,2023-05-02 05:00:00
797,56.0,20.85,2023-05-02 05:10:00
798,56.0,20.85,2023-05-02 05:20:00
799,56.0,20.87,2023-05-02 05:30:00
800,56.0,20.79,2023-05-02 05:40:00
801,56.0,20.87,2023-05-02 05:50:00
802,56.0,20.84,2023-05-02 06:00:00
803,56.0,20.73,2023-05-02 06:10:00
804,55.0,20.81,2023-05-02 06:20:00
805,55.0,20.73,2023-05-02 06:30:00
806,55.0,20.81,2023-05-02 06:40:00
807,55.0,20.77,2023-05-02 06:50:00
808,55.0,20.81,2023-05-02 07:00:00
809,55.0,20.81,2023-05-02 07:10:00
810,55.0,20.75,2023-05-02 07:20:00
811,55.0,20.81,2023-05-02 07:30:00
812,55.0,20.78,2023-05-02 07:40:00
813,55.0,20.65,2023-05-02 07:50:00
814,55.0,20.75,2023-05-02 08:00:00
